run,event,E_beam,Ctrk(N),Ctrk(Sump),Ecal(SumE),Hcal(SumE),Muon(N),comment
5227,1176,45.57,6,84.7,1.4,2.4,2,2 V
5227,1326,45.57,2,89.5,1.6,13.4,2,
5227,1369,45.57,2,98.2,2.6,9.9,2,
5227,1384,45.57,2,105.1,1.8,6.6,2,
5227,1577,45.57,2,84.1,5.4,13.8,2,
5227,1851,45.57,2,88.1,1.5,3.5,2,
5227,2295,45.57,2,119.1,2.1,6.2,2,
5227,2443,45.57,4,87.3,5.3,30.3,2,1 V
5227,2762,45.57,2,87.7,3.0,9.3,1,
5227,2911,45.57,2,87.0,1.8,10.0,2,
5227,3092,45.57,2,93.0,1.3,2.6,2,
5227,3112,45.57,2,80.9,3.1,4.7,1,1 muon not detected
5227,3167,45.57,4,92.3,1.7,5.5,2,"single addtl. track (interrupted at one point), no sign of antiparticle"
5227,3245,45.57,2,89.0,3.1,5.3,3,one muon maybe detected twice
5227,3439,45.57,2,93.4,1.7,1.8,2,
5227,3595,45.57,7,94.3,1.3,3.9,2,"1 V with spiral, 2 addtl. tracks"
5227,3862,45.57,2,86.5,6.2,44.7,1,1 muon detected in HCAL
5227,3981,45.57,2,90.3,2.5,18.8,2,
5227,4168,45.57,2,83.2,1.8,4.9,2,
5227,4196,45.57,2,96.1,1.8,10.7,3,1 muon maybe detected twice
5227,5057,45.57,2,92.6,2.3,11.3,2,
5227,5397,45.57,2,87.3,10.6,9.7,2,
5227,5536,45.57,2,106.1,2.2,9.8,1,1 muon not detected
5227,6116,45.57,2,92.7,1.6,7.2,2,
5227,6173,45.57,2,29.0,3.2,0.5,1,1 muon not detected
5227,6358,45.57,2,82.8,1.7,5.3,3,1 muon maybe detected twice
5227,6709,45.57,4,84.1,9.0,1.3,0,"1 V, no detection without obvious reason"
5227,7097,45.57,2,90.5,1.3,9.1,2,
5227,7740,45.57,2,98.8,2.1,3.4,2,
5227,7956,45.57,4,95.0,4.0,5.4,2,1 V
5227,8028,45.57,2,88.5,3.6,10.0,2,
5227,8360,45.57,2,89.1,5.1,2.4,2,
5227,8543,45.57,2,93.7,1.9,1.8,2,
5227,9214,45.57,4,91.9,2.3,7.3,2,reason for addtl. tracks unknown
5227,9799,45.57,2,93.9,1.9,7.1,2,
5227,9825,45.57,3,92.8,3.5,2.3,1,"single addtl. track, 1 muon not detected"
5227,9918,45.57,2,93.6,4.1,0.0,0,"no HCAL energy, no detection, both unknown reason"
5227,9981,45.57,2,93.1,2.5,7.3,2,
5227,10263,45.57,2,92.7,2.2,7.3,2,
5227,11508,45.57,2,92.5,1.8,12.2,1,1 muon not detected
5227,13415,45.57,2,107.4,2.0,6.9,2,
5227,13422,45.57,2,90.3,2.0,7.5,2,
5227,13600,45.57,2,97.0,3.0,3.4,2,
5227,13698,45.57,2,81.0,8.1,8.7,2,
5227,14111,45.57,7,88.7,1.8,14.2,2,"2 V, 1 track interrupted once"
5227,14314,45.57,2,88.7,1.2,4.2,2,
5227,14448,45.57,2,92.1,6.8,11.3,2,
5227,14500,45.57,2,105.3,1.7,0.0,2,
5227,14841,45.57,2,92.5,1.2,4.1,3,1 muon maybe detected twice
5228,774,45.57,3,92.5,3.9,0.0,2,single addtl. track of unknown source
