run,event,E_beam,Ctrk(N),Ctrk(Sump),Ecal(N),Ecal(SumE),Hcal(N),Hcal(SumE),Muon(N),comment
5227,523,45.57,51,77.3,57,42.1,9,3.0,0,
5227,672,45.57,52,54.8,43,39.7,11,15.8,0,
5227,832,45.57,28,50.0,36,55.7,13,11.9,1,
5227,917,45.57,24,32.0,26,46.7,10,8.3,0,
5227,989,45.57,36,53.3,41,33.2,12,16.3,1,
5227,1140,45.57,28,13.9,32,58.4,24,5.5,2,why do we detect 2 myons?
5227,1203,45.57,39,40.4,43,58.8,7,0.6,0,
5227,1288,45.57,21,43.3,32,50.8,17,203.9,0,
5227,1455,45.57,30,3.2,38,37.2,8,3.3,0,
5227,1586,45.57,22,293.1,31,52.9,14,15.7,0,Very high momentum!
5227,1675,45.57,34,39.8,45,50.7,6,13.5,0,
5227,1837,45.57,39,72.0,47,41.4,15,25.0,1,4 neutral particles
5227,1997,45.57,20,66.2,22,23.8,20,15.9,1,"No tracking of ""myon-chamber particle"""
5227,2109,45.57,25,49.7,33,37.8,16,48.7,1,
5227,2205,45.57,25,53.8,34,53.2,17,17.7,1,
5227,2320,45.57,53,13.2,38,51.5,6,6.0,0,
5227,2474,45.57,30,60.2,39,37.8,18,84.6,3,
5227,2658,45.57,37,18.9,43,58.8,14,9.0,0,
5227,2754,45.57,23,60.9,34,53.4,27,28.4,1,
5227,2884,45.57,27,48.7,40,57.0,8,9.5,1,
5227,2995,45.57,9,59.8,18,55.6,13,23.3,1,
5227,3184,45.57,31,58.6,50,43.9,18,29.3,2,
5227,3290,45.57,19,45.3,36,73.2,9,3.4,0,momenta almost on one axis
5227,3473,45.57,33,51.3,47,48.1,16,35.5,1,
5227,3656,45.57,45,21.9,53,55.6,8,6.5,0,
5227,3762,45.57,27,52.9,,59.7,,22.1,2,2 muons for unknown reason
5227,3895,45.57,27,22.5,,33.4,,41.2,1,
5227,4046,45.57,41,,,52.3,,28.8,0,No momentum recorded
5227,4471,45.57,24,67.6,,50.0,,22.8,2,
5227,4552,45.57,24,50.9,,42.9,,12.5,0,
5227,4716,45.57,40,52.6,,57.1,,2.4,0,
5227,4851,45.57,28,79.1,,37.4,,11.7,0,
5227,5042,45.57,39,40.7,,39.4,,28.9,0,
5227,5154,45.57,60,60.5,,44.1,,28.3,0,
5227,5344,45.57,21,39.3,,39.5,,20.5,1,
5227,5420,45.57,35,68.2,,57.9,,35.0,0,
5227,5606,45.57,33,31.7,,48.7,,22.6,1,
5227,5730,45.57,24,66.7,,54.7,,12.2,0,
5227,5959,45.57,30,43.9,,66.8,,13.5,0,
5227,6152,45.57,64,29.0,,68.6,,0.0,0,
5227,6281,45.57,48,62.8,,53.2,,22.3,1,
5227,6431,45.57,22,69.2,,32.5,,36.4,0,
5227,6565,45.57,50,74.5,,50.5,,4.4,0,
5227,6749,45.57,24,30.4,,66.8,,8.4,0,
5227,6853,45.57,21,50.9,,38.6,,10.0,0,
5227,7218,45.57,34,57.8,,50.1,,19.4,0,
5227,7343,45.57,36,43.5,,40.8,,15.7,0,
5227,7524,45.57,14,30.3,,24.6,,58.9,2,
5227,7666,45.57,19,64.4,,57.9,,27.2,0,
5227,7808,45.57,18,39.8,,46.9,,33.9,0,
